architecture_layers,condition,seed,ood_accuracy_mean,measured_layer,scope,component,head,family,diagram_count,vertices_per_diagram,edges_per_diagram,loops_per_diagram,path_pairs_per_diagram,mean_loop_length,semantic_accuracy,prediction_consistency,identity_error,transport_error,holonomy_error,holonomy_systematic_error,holonomy_dispersion_error,holonomy_rotation_error,holonomy_linear_action_error,holonomy_edge_accumulation_ratio,path_agreement_error,path_endpoint_error,edge_cka,activation_variance
2,higher_diversity,0,0.664,1,cls,query,all,associativity_pentagon,96,5,8,1,1,5.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.9741801280009643,2.361931492565774,0.0,0.0,0.0,1.0,4.165755240759239e-11
2,higher_diversity,0,0.664,1,cls,query,all,commutativity_cube,96,8,24,6,5,4.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.9676249468954394,1.8382809464652183,0.0,0.0,0.0,0.9999999403953552,9.913677517792152e-11
2,higher_diversity,0,0.664,1,cls,query,all,commutativity_involution,96,2,2,1,0,2.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.866497910877091,3.0903117034098784e-14,0.0,nan,nan,1.0,4.754004048063143e-12
2,higher_diversity,0,0.664,1,cls,query,all,demorgan_and_square,96,4,4,1,0,4.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.9676249468954399,1.8785906365392422,0.0,nan,nan,1.0,2.5918508658739903e-11
2,higher_diversity,0,0.664,1,cls,query,all,demorgan_or_square,96,4,4,1,0,4.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.9676249468954399,1.8785906365392422,0.0,nan,nan,1.0,2.5918508658739903e-11
2,higher_diversity,0,0.664,1,cls,query,all,distributivity_diamond,96,4,5,2,1,3.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.9170614288862655,1.7414121437019674,0.0,0.0,0.0,1.0,2.5918508658739903e-11
2,higher_diversity,0,0.664,1,cls,query,all,double_negation,96,2,2,1,0,2.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.866497910877091,3.0903117034098784e-14,0.0,nan,nan,1.0,4.754004048063143e-12
2,higher_diversity,0,0.664,1,cls,query,all,exact1_hexagon,96,6,6,1,0,6.0,nan,nan,0.0,0.0,0.0,0.0,0.0,2.0035013303621914,2.1682974491459968,0.0,nan,nan,1.0,5.669595695700913e-11
2,higher_diversity,0,0.664,1,cls,query,all,ite_expansion,96,2,2,1,0,2.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.866497910877091,3.0903117034098784e-14,0.0,nan,nan,1.0,4.754004048063143e-12
2,higher_diversity,0,0.664,1,cls,query,all,majority_duality,96,2,2,1,0,2.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.866497910877091,3.0903117034098784e-14,0.0,nan,nan,1.0,4.754004048063143e-12
2,higher_diversity,0,0.664,1,cls,query,all,nary_and_hexagon,96,6,6,1,0,6.0,nan,nan,0.0,0.0,0.0,0.0,0.0,2.0035013303621914,2.1682974491459968,0.0,nan,nan,1.0,5.669595695700913e-11
2,higher_diversity,0,0.664,1,token_mean,query,all,associativity_pentagon,96,5,8,1,1,5.0,nan,nan,0.002552187454220778,0.003078419855736391,0.004678151841153087,0.00028402128373272717,0.004394130315631628,1.087357383354034,0.004475397307184651,0.32647836289161736,0.0011352750434239008,0.00688816134613758,0.9987719655036926,0.013547655194997787
2,higher_diversity,0,0.664,1,token_mean,query,all,commutativity_cube,96,8,24,6,5,4.0,nan,nan,0.0029954107699348516,0.003339729980555354,0.002777486038896195,9.879553545033559e-05,0.002678690478205681,0.8862340391851422,0.002641299069348453,0.22660358200166034,0.00012108712133962342,0.010204324264150577,0.9981626272201538,0.00885166134685278
2,higher_diversity,0,0.664,1,token_mean,query,all,commutativity_involution,96,2,2,1,0,2.0,nan,nan,0.008069179629544343,0.008522780641317295,0.0025143641536060387,0.0001831964764278382,0.0023311679251492023,1.1717069251623526,0.0023318399299007402,0.1804530522609654,nan,nan,0.9952676892280579,0.021129393950104713
2,higher_diversity,0,0.664,1,token_mean,query,all,demorgan_and_square,96,4,4,1,0,4.0,nan,nan,0.13521295294057972,0.019850683776636947,0.008237675001007508,0.00043237017234787345,0.007805304601788521,1.3208998336491344,0.00928620672547697,0.10900511156549426,nan,nan,0.9186551570892334,0.021890515461564064
2,higher_diversity,0,0.664,1,token_mean,query,all,demorgan_or_square,96,4,4,1,0,4.0,nan,nan,0.11026188671355497,0.019549390924550682,0.008299451061945849,0.0008226384525187314,0.007476812694221735,1.3404668142938496,0.008122130276404705,0.1094869944951788,nan,nan,0.9428510665893555,0.021457621827721596
2,higher_diversity,0,0.664,1,token_mean,query,all,distributivity_diamond,96,4,5,2,1,3.0,nan,nan,0.1753554817112984,0.112960715658523,0.04827923418660821,0.0015549043891951442,0.04672432690858841,1.539656805334254,0.04932504832419205,0.13140582244970841,0.05912666125933214,0.185125570317576,0.9032469987869263,0.01802930049598217
2,higher_diversity,0,0.664,1,token_mean,query,all,double_negation,96,2,2,1,0,2.0,nan,nan,0.7931419510204346,0.06403647074039709,0.009611779348888105,0.0007266619941219687,0.008885116316378117,1.4109249797770163,0.010790717322098747,0.0785735807822208,nan,nan,0.7081934213638306,0.028682619333267212
