architecture_layers,condition,seed,measured_layer,scope,component,head,ood_accuracy_mean,identity_error,transport_error,holonomy_error,holonomy_rotation_error,holonomy_linear_action_error,holonomy_systematic_error,holonomy_dispersion_error,holonomy_edge_accumulation_ratio,path_agreement_error,path_endpoint_error,activation_variance,edge_improvement_over_identity,supported
2,higher_diversity,0,1,cls,query,all,0.664,0.0,0.0,0.0,1.9333737001642086,1.2759455231003236,0.0,0.0,0.0,0.0,0.0,3.190525306072768e-11,nan,False
2,higher_diversity,0,1,token_mean,query,all,0.664,0.18449696766986612,0.0436821610468014,0.01627729277517351,1.27823404799087,0.016625894700795875,0.0008487553217988038,0.015428537121889267,0.17791246159192187,0.020127674474698556,0.0674060186426214,0.018652589229697532,0.7632364282270206,True
2,higher_diversity,0,1,cls,key,all,0.664,0.0,0.0,0.0,1.9029024715955942,1.2391598677684037,0.0,0.0,0.0,0.0,0.0,7.598955122026998e-12,nan,False
2,higher_diversity,0,1,token_mean,key,all,0.664,0.17068246233042508,0.044290565834421675,0.015998143654995453,1.2770772921907478,0.016302953262445734,0.0008448890704047782,0.01515325421298092,0.18123036898946343,0.01994688710642795,0.06832241775570914,0.01917123921554197,0.7405089824127371,True
2,higher_diversity,0,1,cls,value,all,0.664,0.0,0.0,0.0,1.9013808572140443,1.2162447744698974,0.0,0.0,0.0,0.0,0.0,5.9641242006970594e-12,nan,False
2,higher_diversity,0,1,token_mean,value,all,0.664,0.1530384938939345,0.0403698577472249,0.014321739432152954,1.2800823618390405,0.014363585917656612,0.0006950417234541171,0.013626697748391465,0.17449223648277165,0.01817798096620373,0.06362923755109787,0.020004506307569416,0.7362110883343912,True
2,higher_diversity,0,2,cls,query,all,0.664,1.396451176326423,0.6575024301989794,0.5023499965453062,1.7099807340207838,0.7887449749622205,0.0442281110974198,0.45812186801975424,0.2476799152104409,0.24722356060579811,0.9455441139808579,0.6184713203798641,0.5291618916970378,True
2,higher_diversity,0,2,token_mean,query,all,0.664,0.27661471734736415,0.15260813440667262,0.10836405757138952,1.3674908867409863,0.10685062226743434,0.006313217761503024,0.10205083983865651,0.23154593298691875,0.05651248141846634,0.19743953943078493,0.02794978776100007,0.4483007416592658,True
2,higher_diversity,0,2,cls,key,all,0.664,1.4117103187046103,0.7831360280991689,0.6017130631228116,1.7100525031326044,0.8410975693201818,0.04684584405781193,0.5548672350970182,0.2553448702457574,0.36753502064819105,1.1510180004812103,0.3746865405277772,0.4452572757151928,True
2,higher_diversity,0,2,token_mean,key,all,0.664,0.2376527981130837,0.15018485924146088,0.09236769822562113,1.3598624154807895,0.08997338733971394,0.006294082384556532,0.08607361635023897,0.2152426228304358,0.05446609027142219,0.2052425566451808,0.0305613838982853,0.36804927005320787,True
2,higher_diversity,0,2,cls,value,all,0.664,1.3716449024735036,0.7663980369331255,0.5456803939893133,1.714270389352579,0.7444690370524846,0.0456771939908239,0.500003194944425,0.2422817174715794,0.3492554177910456,1.0978408374227484,0.33868802000175824,0.44125623508601186,True
2,higher_diversity,0,2,token_mean,value,all,0.664,0.24869995657073368,0.1377248292008696,0.08300967440025425,1.3641575540700097,0.0806534980889036,0.005733814185739241,0.07727586003867062,0.21418585801231274,0.043027123893440856,0.16798931152985874,0.02878279450603507,0.44622093586213085,True
2,higher_diversity,1,1,cls,query,all,0.6705000000000001,0.0,0.0,0.0,1.9324702610338926,1.2352901761920039,0.0,0.0,0.0,0.0,0.0,3.909204021096907e-11,nan,False
