architecture_layers,condition,seed,train_size,step,train_loss,validation_loss,validation_accuracy
2,low_diversity,0,512,1,0.8797661662101746,0.7246407623291016,0.5
2,low_diversity,0,512,250,0.20441354744619458,2.620803161621094,0.647
2,low_diversity,0,512,500,0.00014517148802406155,2.840535888671875,0.647
2,low_diversity,0,512,750,7.768294212291948e-05,2.980372741699219,0.649
2,low_diversity,0,512,1000,5.156621595961042e-05,3.0873499755859375,0.649
2,low_diversity,0,512,1250,3.75253967649769e-05,3.1762866821289064,0.651
2,low_diversity,0,512,1500,2.8772774625394958e-05,3.254069091796875,0.652
2,low_diversity,0,512,1750,2.2816876327851786e-05,3.3242442626953124,0.654
2,low_diversity,0,512,2000,1.8520605961384717e-05,3.388897644042969,0.654
2,low_diversity,1,512,1,0.7722874283790588,0.7058387603759766,0.5
2,low_diversity,1,512,250,0.19450300767977025,2.34409716796875,0.67
2,low_diversity,1,512,500,0.00014016416791127995,2.576392333984375,0.669
2,low_diversity,1,512,750,7.142298029793892e-05,2.7221257934570313,0.667
2,low_diversity,1,512,1000,4.631339829938952e-05,2.832826965332031,0.669
2,low_diversity,1,512,1250,3.330107253714232e-05,2.923794006347656,0.67
2,low_diversity,1,512,1500,2.5383820982824547e-05,3.0021834716796874,0.67
2,low_diversity,1,512,1750,2.008355515135918e-05,3.0718929443359375,0.67
2,low_diversity,1,512,2000,1.6300794373819372e-05,3.1355013427734373,0.669
2,low_diversity,2,512,1,0.860913872718811,0.7355054473876953,0.5
2,low_diversity,2,512,250,0.22206553905829787,2.4180361328125,0.662
2,low_diversity,2,512,500,0.0001489422421436757,2.6419869384765624,0.658
2,low_diversity,2,512,750,7.739946385845543e-05,2.7865633544921873,0.656
2,low_diversity,2,512,1000,5.090336261491757e-05,2.898266174316406,0.654
2,low_diversity,2,512,1250,3.6886517016682774e-05,2.9917628784179686,0.654
2,low_diversity,2,512,1500,2.8228613795363343e-05,3.0735374755859377,0.653
2,low_diversity,2,512,1750,2.237060581683181e-05,3.1473258056640625,0.654
2,low_diversity,2,512,2000,1.815874592284672e-05,3.2151715698242187,0.654
2,higher_diversity,0,12000,1,0.8017676472663879,0.7244382019042969,0.5
2,higher_diversity,0,12000,250,0.558520316362381,0.5186412353515625,0.702
2,higher_diversity,0,12000,500,0.4696739699840546,0.47412666320800784,0.72
2,higher_diversity,0,12000,750,0.4161864067316055,0.4814718627929688,0.71
2,higher_diversity,0,12000,1000,0.3725273922681808,0.5472311477661133,0.725
2,higher_diversity,0,12000,1250,0.3284013561606407,0.6926804809570313,0.719
2,higher_diversity,0,12000,1500,0.28422699320316314,0.7847060699462891,0.718
2,higher_diversity,0,12000,1750,0.24828839439153672,0.9093114776611328,0.71
2,higher_diversity,0,12000,2000,0.21960215777158737,0.9768993682861328,0.709
2,higher_diversity,1,12000,1,0.7934064269065857,0.7056319122314453,0.5
2,higher_diversity,1,12000,250,0.5441904233694077,0.5090587692260742,0.713
2,higher_diversity,1,12000,500,0.46552279472351077,0.49302392578125,0.729
2,higher_diversity,1,12000,750,0.4145374629497528,0.48414810943603515,0.724
2,higher_diversity,1,12000,1000,0.37027197575569154,0.5642845840454102,0.71
2,higher_diversity,1,12000,1250,0.32899852669239044,0.6450339508056641,0.71
2,higher_diversity,1,12000,1500,0.2903084626197815,0.7566172790527343,0.712
2,higher_diversity,1,12000,1750,0.25593169462680815,0.9524301300048829,0.707
2,higher_diversity,1,12000,2000,0.22652133232355118,1.0208422393798828,0.707
2,higher_diversity,2,12000,1,0.8356931209564209,0.7349510345458984,0.5
2,higher_diversity,2,12000,250,0.5569905816316605,0.5096276321411133,0.7
2,higher_diversity,2,12000,500,0.4678248451948166,0.4795407333374023,0.739
2,higher_diversity,2,12000,750,0.4225369176864624,0.5286668090820312,0.719
2,higher_diversity,2,12000,1000,0.3855848091840744,0.5995561828613282,0.701
2,higher_diversity,2,12000,1250,0.3507040877342224,0.6492982788085937,0.695
2,higher_diversity,2,12000,1500,0.3112676067352295,0.7762755889892579,0.708
2,higher_diversity,2,12000,1750,0.27848636263608934,0.8120247802734375,0.702
2,higher_diversity,2,12000,2000,0.24919456672668458,0.9252183990478515,0.699
4,low_diversity,0,512,1,0.796615481376648,0.71024072265625,0.512
4,low_diversity,0,512,250,0.14895147872838424,2.3205765075683593,0.684
4,low_diversity,0,512,500,0.00012548264986253344,2.539859802246094,0.687
4,low_diversity,0,512,750,7.169525133213029e-05,2.6819029541015627,0.686
4,low_diversity,0,512,1000,4.9111405242001635e-05,2.790622802734375,0.688
4,low_diversity,0,512,1250,3.6465899669565264e-05,2.881661682128906,0.688
4,low_diversity,0,512,1500,2.836143308377359e-05,2.961709533691406,0.688
