architecture_layers,condition,seed,train_size,split,depth,root_operator,count,accuracy,balanced_accuracy
2,low_diversity,0,512,id,3,AND,78,0.6794871794871795,0.6361111111111111
2,low_diversity,0,512,id,3,AND3,74,0.8378378378378378,0.6261904761904762
2,low_diversity,0,512,id,3,AND4,69,0.927536231884058,0.803030303030303
2,low_diversity,0,512,id,3,ATLEAST2_4,81,0.6790123456790124,0.6151315789473684
2,low_diversity,0,512,id,3,EXACT1_3,69,0.5507246376811594,0.4404545454545455
2,low_diversity,0,512,id,3,ITE3,82,0.6341463414634146,0.6369047619047619
2,low_diversity,0,512,id,3,MAJ3,74,0.6081081081081081,0.6121212121212121
2,low_diversity,0,512,id,3,NOT,52,0.5769230769230769,0.5769230769230769
2,low_diversity,0,512,id,3,OR,61,0.6721311475409836,0.5640243902439024
2,low_diversity,0,512,id,3,OR3,66,0.803030303030303,0.5584795321637427
2,low_diversity,0,512,id,3,OR4,76,0.8421052631578947,0.6095238095238095
2,low_diversity,0,512,id,3,XOR,72,0.5833333333333334,0.5789473684210527
2,low_diversity,0,512,id,3,XOR3,69,0.43478260869565216,0.44612068965517243
2,low_diversity,0,512,id,3,XOR4,77,0.4935064935064935,0.49224021592442646
2,low_diversity,0,512,ood,5,AND,84,0.6428571428571429,0.6457590876692801
2,low_diversity,0,512,ood,5,AND3,88,0.7840909090909091,0.5306545153272576
2,low_diversity,0,512,ood,5,AND4,72,0.9166666666666666,0.5714285714285714
2,low_diversity,0,512,ood,5,ATLEAST2_4,63,0.6666666666666666,0.5753880266075388
2,low_diversity,0,512,ood,5,EXACT1_3,62,0.5645161290322581,0.592948717948718
2,low_diversity,0,512,ood,5,ITE3,79,0.5189873417721519,0.5346938775510204
2,low_diversity,0,512,ood,5,MAJ3,62,0.5483870967741935,0.47243243243243244
2,low_diversity,0,512,ood,5,NOT,63,0.5079365079365079,0.501008064516129
2,low_diversity,0,512,ood,5,OR,71,0.6901408450704225,0.5379554655870445
2,low_diversity,0,512,ood,5,OR3,60,0.7666666666666667,0.5480769230769231
2,low_diversity,0,512,ood,5,OR4,76,0.9210526315789473,0.49295774647887325
2,low_diversity,0,512,ood,5,XOR,76,0.5526315789473685,0.538888888888889
2,low_diversity,0,512,ood,5,XOR3,62,0.43548387096774194,0.44497354497354497
2,low_diversity,0,512,ood,5,XOR4,82,0.4878048780487805,0.492546213476446
2,low_diversity,1,512,id,3,AND,78,0.7307692307692307,0.6694444444444445
2,low_diversity,1,512,id,3,AND3,74,0.7972972972972973,0.49166666666666664
2,low_diversity,1,512,id,3,AND4,69,0.9130434782608695,0.4772727272727273
2,low_diversity,1,512,id,3,ATLEAST2_4,81,0.6666666666666666,0.5942982456140351
2,low_diversity,1,512,id,3,EXACT1_3,69,0.4927536231884058,0.4640909090909091
2,low_diversity,1,512,id,3,ITE3,82,0.6341463414634146,0.6351190476190476
2,low_diversity,1,512,id,3,MAJ3,74,0.5945945945945946,0.5848484848484848
2,low_diversity,1,512,id,3,NOT,52,0.6346153846153846,0.6346153846153846
2,low_diversity,1,512,id,3,OR,61,0.7049180327868853,0.6140243902439024
2,low_diversity,1,512,id,3,OR3,66,0.8333333333333334,0.5760233918128654
2,low_diversity,1,512,id,3,OR4,76,0.8947368421052632,0.5619047619047619
2,low_diversity,1,512,id,3,XOR,72,0.5555555555555556,0.5603715170278638
2,low_diversity,1,512,id,3,XOR3,69,0.5072463768115942,0.5228448275862069
2,low_diversity,1,512,id,3,XOR4,77,0.4675324675324675,0.4642375168690958
2,low_diversity,1,512,ood,5,AND,84,0.5952380952380952,0.49109052031361367
2,low_diversity,1,512,ood,5,AND3,88,0.7727272727272727,0.4788732394366197
2,low_diversity,1,512,ood,5,AND4,72,0.9027777777777778,0.5
2,low_diversity,1,512,ood,5,ATLEAST2_4,63,0.5873015873015873,0.49334811529933487
2,low_diversity,1,512,ood,5,EXACT1_3,62,0.6774193548387096,0.6581196581196581
2,low_diversity,1,512,ood,5,ITE3,79,0.569620253164557,0.6272108843537415
2,low_diversity,1,512,ood,5,MAJ3,62,0.5967741935483871,0.5843243243243244
2,low_diversity,1,512,ood,5,NOT,63,0.4603174603174603,0.453125
2,low_diversity,1,512,ood,5,OR,71,0.5915492957746479,0.43724696356275305
2,low_diversity,1,512,ood,5,OR3,60,0.85,0.6490384615384616
2,low_diversity,1,512,ood,5,OR4,76,0.8157894736842105,0.6225352112676057
2,low_diversity,1,512,ood,5,XOR,76,0.5526315789473685,0.5638888888888889
2,low_diversity,1,512,ood,5,XOR3,62,0.4838709677419355,0.4751322751322751
2,low_diversity,1,512,ood,5,XOR4,82,0.5609756097560976,0.5503875968992248
2,low_diversity,2,512,id,3,AND,78,0.6666666666666666,0.6277777777777778
2,low_diversity,2,512,id,3,AND3,74,0.8513513513513513,0.6892857142857143
2,low_diversity,2,512,id,3,AND4,69,0.8840579710144928,0.4621212121212121
2,low_diversity,2,512,id,3,ATLEAST2_4,81,0.5925925925925926,0.5175438596491228
2,low_diversity,2,512,id,3,EXACT1_3,69,0.5072463768115942,0.4322727272727273
2,low_diversity,2,512,id,3,ITE3,82,0.6097560975609756,0.6113095238095239
2,low_diversity,2,512,id,3,MAJ3,74,0.5135135135135135,0.5007575757575757
2,low_diversity,2,512,id,3,NOT,52,0.46153846153846156,0.46153846153846156
2,low_diversity,2,512,id,3,OR,61,0.639344262295082,0.5140243902439025
2,low_diversity,2,512,id,3,OR3,66,0.8787878787878788,0.6023391812865497
2,low_diversity,2,512,id,3,OR4,76,0.8947368421052632,0.7904761904761904
2,low_diversity,2,512,id,3,XOR,72,0.6388888888888888,0.6424148606811146
2,low_diversity,2,512,id,3,XOR3,69,0.391304347826087,0.41336206896551725
2,low_diversity,2,512,id,3,XOR4,77,0.4805194805194805,0.48043184885290147
2,low_diversity,2,512,ood,5,AND,84,0.6428571428571429,0.5780470420527442
2,low_diversity,2,512,ood,5,AND3,88,0.7159090909090909,0.6449875724937862
2,low_diversity,2,512,ood,5,AND4,72,0.8472222222222222,0.5967032967032967
2,low_diversity,2,512,ood,5,ATLEAST2_4,63,0.6984126984126984,0.6524390243902439
