architecture_layers,condition,seed,train_size,train_accuracy,id_accuracy,ood_accuracy_mean,ood_depth_4_accuracy,ood_depth_5_accuracy,diagram_semantic_accuracy,diagram_consistency_mean,diagram_transport_mean,diagram_holonomy_mean,diagram_path_mean,rewrite_transport_mean
2,low_diversity,0,512,1.0,0.667,0.6395,0.632,0.647,0.5149463383838384,0.45833333333333326,1.2088114438973763,0.509580302500789,0.19098847517053638,1.2190136147869959
2,low_diversity,1,512,1.0,0.673,0.6355,0.625,0.646,0.5368607954545456,0.4242424242424242,1.1377817834991264,0.576387599058592,0.2626314349257172,1.1399245229032304
2,low_diversity,2,512,1.0,0.646,0.6285000000000001,0.61,0.647,0.5154513888888889,0.3996212121212121,1.2893312150928375,0.7561365043873696,0.3035891266569532,1.282646620715106
2,higher_diversity,0,12000,0.8998333333333334,0.721,0.664,0.667,0.661,0.5747159090909091,0.4981060606060606,0.9744872007765687,0.6884890598751418,0.3617510438526829,1.00319868878082
2,higher_diversity,1,12000,0.8960833333333333,0.715,0.6705000000000001,0.658,0.683,0.5732007575757575,0.4696969696969697,0.9797772067887114,0.6964345630855534,0.31137032010186455,0.954979333612654
2,higher_diversity,2,12000,0.886,0.71,0.652,0.653,0.651,0.5796164772727272,0.46875000000000006,1.0064724504861322,0.667571662546686,0.3129094995937183,1.0228562112207766
4,low_diversity,0,512,1.0,0.655,0.6465000000000001,0.648,0.645,0.5237136994949494,0.4526515151515152,1.1119469914166797,0.5052059510322818,0.10702304942991371,1.1346414155430264
4,low_diversity,1,512,1.0,0.678,0.639,0.638,0.64,0.5477588383838384,0.42992424242424243,1.0527548320021087,0.5533862119393923,0.16610168150162635,1.0687425423551489
4,low_diversity,2,512,1.0,0.66,0.6305000000000001,0.621,0.64,0.5287878787878788,0.42045454545454547,1.189299119353493,0.5669363034875027,0.15908899104307359,1.2627085910903082
4,higher_diversity,0,12000,0.9964166666666666,0.761,0.6625000000000001,0.65,0.675,0.6025489267676767,0.47253787878787873,1.0737799909931005,0.8358448879263897,0.38878029160309385,1.129439069165124
4,higher_diversity,1,12000,0.9898333333333333,0.748,0.658,0.67,0.646,0.5902462121212122,0.4914772727272727,1.1042816008132172,0.819682953967069,0.4333685182695579,1.1266885289439448
4,higher_diversity,2,12000,0.9910833333333333,0.733,0.652,0.666,0.638,0.6085621843434343,0.49526515151515155,1.080550120658996,0.7916687270364468,0.2648133305994386,1.1184407936202154
6,low_diversity,0,512,1.0,0.664,0.639,0.638,0.64,0.5260732323232322,0.5018939393939394,1.041143363941492,0.3443015979527139,0.06466534937423445,1.0760486346703988
6,low_diversity,1,512,1.0,0.691,0.6275,0.625,0.63,0.5408933080808082,0.46496212121212127,1.0120673895829273,0.4692471192527718,0.1210542639996336,1.060558393045708
6,low_diversity,2,512,1.0,0.673,0.6475,0.643,0.652,0.5324731691919192,0.42045454545454547,1.1541500620469742,0.4626659950910993,0.12966165948866762,1.176368710067537
6,higher_diversity,0,12000,0.9964166666666666,0.75,0.687,0.711,0.663,0.6243607954545455,0.5104166666666666,0.9418186978768124,0.7155030580519199,0.3422711413025101,0.9519307094591635
6,higher_diversity,1,12000,0.99425,0.749,0.679,0.686,0.672,0.58677398989899,0.5255681818181818,1.1050213956125619,0.8929862676111651,0.3979849887544522,1.085665636592441
6,higher_diversity,2,12000,0.99175,0.725,0.6775,0.692,0.663,0.6241161616161616,0.540719696969697,0.9908733841408778,0.7017164440813942,0.32461051127428603,0.9836454159683652
